PointClass	X	Y	Z	FaceDirection
yuguai	3898	3543	1048576	75
yuguai	3479	3479	1048576	75
yuguai	3278	3063	1048576	75
yuguai1	3423	2562	1048576	75
yuguai	3946	2472	1048576	75
yuguai	4442	2674	1048576	75
yuguai	4576	3207	1048576	75
yuguai	3986	2970	1048576	140
yuguai2	3527	3292	1048576	0
yuguai2	3497	2976	1048576	0
yuguai6	3519	2688	1048576	0
yuguai2	3271	2914	1048576	0
yuguai2	3304	3146	1048576	0
yuguai2	3616	3089	1048576	0
yuguai2	3608	2816	1048576	0
yuguai2	3783	2572	1048576	0
yuguai2	3776	3326	1048576	0
yuguai3	3419	2837	1048576	0
yuguai7	3633	2714	1048576	0
yuguai3	3864	2693	1048576	0
yuguai3	4041	2732	1048576	0
yuguai3	4174	2835	1048576	0
yuguai3	3585	2622	1048576	0
yuguai3	3838	2563	1048576	0
yuguai3	4096	2613	1048576	0
yuguai4	4009	2865	1048576	75
yuguai4	3902	3303	1048576	75
yuguai4	4167	3262	1048576	75
yuguai4	4336	3150	1048576	75
yuguai8	4299	3004	1048576	75
yuguai4	4347	2805	1048576	75
yuguai4	4182	2656	1048576	75
