PointClass	X	Y	Z	FaceDirection
shouwei	4111	3862	1048576	0
shouwei1	4639	3928	1048576	140
shouwei	4093	3468	1048576	0
shouwei1	4563	3480	1048576	140
shouwei	3982	3064	1048576	0
shouwei1	4496	2968	1048576	140
shouwei	3882	2765	1048576	0
shouwei1	4506	2593	1048576	140
shouwei2	3543	1827	1048576	0
shouwei2	3527	1983	1048576	0
shouwei2	3513	2135	1048576	0
shouwei2	3504	2293	1048576	0
shouwei2	3722	1809	1048576	0
shouwei2	3680	1982	1048576	0
shouwei2	3652	2137	1048576	0
shouwei2	3648	2282	1048576	0
shouwei3	4110	2481	1048576	200
shouwei5	3921	2080	1048576	0
shouwei66	2626	1843	1048576	200
shouwei77	2280	1854	1048576	200
shouwei88	2656	2415	1048576	75
shouwei99	2322	2439	1048576	75
shouwei7	4003	2670	1048576	20
shouwei8	4210	2575	1048576	140
