PointClass	X	Y	Z	FaceDirection
nianshou	2304	1743	1048576	80
nianshou1	2503	2052	1048576	80
nianshou2	2503	2052	1048576	80
nianshou3	2503	2052	1048576	80
nianshou4	2503	2052	1048576	80
nianshou5	2503	2052	1048576	80
nianshou6	2229	2069	1048576	80
nianshou6	2605	1684	1048576	80
nianshou6	2171	1886	1048576	80
nianshou6	2688	1878	1048576	80
nianshou7	2477	1994	1048576	80
nianshou8	2304	1743	1048576	90
nianshou10	2200	2055	1048576	75
nianshou11	2025	1975	1048576	75
nianshou12	1949	1761	1048576	75
nianshou13	2048	1475	1048576	45
nianshou14	2379	1390	1048576	220
nianshou15	2596	1507	1048576	220
nianshou16	2655	1734	1048576	220
