PointClass	X	Y	Z	FaceDirection
mobing4	1049	1153	1048576	75
mobing11	882	1998	1048576	75
mobing	903	2353	1048576	75
mobing22	1321	2092	1048576	75
mobing	1275	2350	1048576	75
mobing6	779	2892	1048576	75
mobing7	1011	2736	1048576	75
mobing8	1335	2771	1048576	75
mobing2	1105	2306	1048576	75
mobing3	878	2017	1048576	75
mobing5	1295	1981	1048576	75
mobing9	571	3248	1048576	75
mobing9	1645	3244	1048576	75
mobing9	1099	3188	1048576	75
mobing10	942	2881	1048576	75
mobing1	1130	3779	1048576	75
mobing1	796	3453	1048576	75
mobing1	1452	3353	1048576	75
