PointClass	X	Y	Z	FaceDirection
rongyang	5302	1383	1048576	75
rongyang	5504	1131	1048576	75
rongyang	5567	1439	1048576	75
rongyang	5792	1635	1048576	75
rongyang	5429	1873	1048576	75
rongyang	5705	1853	1048576	75
rongyang	5913	1949	1048576	75
rongyang	5459	2364	1048576	75
rongyang	5702	2479	1048576	75
dao	4995	2679	1048576	75
dao	5245	2788	1048576	75
dao	5511	2881	1048576	75
dao	5372	3246	1048576	75
dao	4911	3196	1048576	75
dao	4802	3006	1048576	75
dao	5763	3176	1048576	75
dao	5517	3534	1048576	75
gong	3609	3495	1048576	75
gong	3567	3268	1048576	75
gong	3756	3096	1048576	75
gong	3927	2848	1048576	75
gong	4151	2960	1048576	75
gong	4146	3271	1048576	75
gong	3909	3527	1048576	75
gong	3853	3790	1048576	75
