PointClass	X	Y	Z	FaceDirection
jiangshi	1967	5014	1048576	75
jiangshi	1891	5347	1048576	75
jiangshi	2180	5384	1048576	75
jiangshi	2286	5137	1048576	75
jiangshi	2534	4927	1048576	75
jiangshi	2810	5098	1048576	75
jiangshi	2785	5389	1048576	75
jiangshi	2402	5418	1048576	75
jiangshi	1946	5778	1048576	75
jiangshi	2690	5693	1048576	75
jiangshi	2748	5930	1048576	75
jiangshi	2473	6136	1048576	75
laoyao	4144	5685	1048576	75
laoyao	3710	5310	1048576	75
laoyao	4138	5304	1048576	75
laoyao	4122	5013	1048576	75
laoyao	3890	4929	1048576	75
laoyao	3576	4942	1048576	75
laoyao	3654	4721	1048576	75
laoyao	3956	4641	1048576	75
laoyao	3760	4395	1048576	75
