PointClass	X	Y	Z	FaceDirection
bing	2628	1381	1048576	75
bing	2827	1338	1048576	75
bing	2913	1490	1048576	75
bing	2635	1557	1048576	75
bing	2812	1543	1048576	75
bing	2895	1697	1048576	75
bing	2634	1806	1048576	75
bing	2792	1856	1048576	75
bing	2917	1936	1048576	75
bing	2687	2107	1048576	75
bing	2835	2276	1048576	75
bing	2616	2354	1048576	75
bing	2899	2350	1048576	75
bing	2796	2157	1048576	75
bing	2640	1991	1048576	75
bing	2888	2123	1048576	75
bing	2616	2371	1048576	75
bing	2856	2519	1048576	75
bing	2549	2707	1048576	75
bing	2712	2723	1048576	75
bing	2908	2732	1048576	75
bing	3116	2856	1048576	75
bing	2887	2933	1048576	75
bing	2652	2860	1048576	75
bing	2424	3000	1048576	75
bing	2181	2903	1048576	75
bianshen	2761	3803	1048576	75
beixi1	2497	3426	1048576	200
beixi1	2675	3427	1048576	200
beixi11	2817	3427	1048576	200
beixi1	3060	3424	1048576	200
beixi1	2492	3187	1048576	200
beixi1	2663	3177	1048576	200
beixi1	2849	3171	1048576	200
beixi1	3096	3155	1048576	200
beixi2	2334	3528	1048576	0
beixi2	2338	3758	1048576	0
beixi2	2357	3990	1048576	0
beixi2	2104	3528	1048576	0
beixi2	2064	3758	1048576	0
beixi2	2086	3990	1048576	0
beixi3	3137	3525	1048576	140
beixi3	3125	3802	1048576	140
beixi3	3117	4033	1048576	140
beixi3	3344	4030	1048576	140
beixi3	3400	3792	1048576	140
beixi3	3349	3543	1048576	140
beixi4	2497	3426	1048576	200
beixi4	2675	3427	1048576	200
beixi44	2817	3427	1048576	200
beixi4	3060	3424	1048576	200
beixi4	2492	3187	1048576	200
beixi4	2663	3177	1048576	200
beixi4	2849	3171	1048576	200
beixi4	3096	3155	1048576	200
beixi5	2334	3528	1048576	0
beixi5	2338	3758	1048576	0
beixi5	2357	3990	1048576	0
beixi5	2104	3528	1048576	0
beixi5	2064	3758	1048576	0
beixi5	2086	3990	1048576	0
beixi6	3137	3525	1048576	140
beixi6	3125	3802	1048576	140
beixi6	3117	4033	1048576	140
beixi6	3344	4030	1048576	140
beixi6	3400	3792	1048576	140
beixi6	3349	3543	1048576	140
