PointClass	X	Y	Z	FaceDirection
ling	1557	3785	1048576	30
ling	1821	3633	1048576	30
ling	2099	4829	1048576	30
ling	2241	5089	1048576	30
ling	1735	5163	1048576	30
ling	1295	4973	1048576	30
ling	1312	4567	1048576	30
ling	1910	4125	1048576	30
ling	1991	3747	1048576	30
ling	1498	3659	1048576	30
ling	2075	3744	1048576	30
ling	1587	4266	1048576	30
ling	1431	4704	1048576	30
ling	1843	4784	1048576	30
ling	1877	5122	1048576	30
ling	2298	5091	1048576	30
ling1	1629	4376	1048576	30
ling1	1697	4003	1048576	30
ling1	1937	4233	1048576	30
