TemplateId	Comment	X	Y	Z	FaceDirection	RegenerationTime	PosFile	Count
50	不周山	7819	7808	1048576	0	0		
51	单人剧情副本	2864	4771	1048576	0	0		
52	单人剧情副本	7873	788	1048576	0	0		
53	下座城	6245	4271	1048576	0	0		
49	洗澡仙子	3802	7689	1048576	0	0		
55	龟丞相	1118	7603	1048576	0	0		
56	大罗哨兵	1338	6404	1048576	235	0		
57	猪八戒	7052	5966	1048576	0	0		
58	镇长	1104	4969	1048576	0	0		
59	三姨婆	1139	3774	1048576	0	0		
60	衣服	3758	6984	1048576	0	0		
61	小罗哨兵	2007	6345	1048576	180	0		
62	药王鑫	540	2584	1048576	0	0		
63	喝醉的村民	1026	5417	1048576	200	0		
64	铁匠	2053	3484	1048576	75	0		
54	蛤蟆	3802	7689	1048576	0	0		
66	孙悟空	5853	1061	1048576	45	0		
67	李靖	5961	2400	1048576	0	0		
68	紫霞仙子	5957	3605	1048576	0	0		
71	龟丞相	5227	6125	1048576	0	0		
72	单人剧情副本	6311	7465	1048576	0	0		
100000	水果商	2125	5125	1069056	110	0	0	
100001	驿站马夫	2340	2788	1069056	100	0		
100002	杂耍老板	1060	2788	1069056	0	0		
100003	嬉戏小孩	5760	7360	1069056	110	0		
