PointClass	X	Y	Z	FaceDirection
beisha	215	3873	1048576	160
gong	1335	2140	1048576	160
gong	1456	1616	1048576	160
gong	2124	1072	1048576	160
gong	2611	1244	1048576	160
gong	2944	1707	1048576	160
gong	2885	2158	1048576	160
gong	2640	2545	1048576	160
gong	2164	2819	1048576	160
gong	1752	2818	1048576	160
jian	1464	2135	1048576	160
jian	1548	2315	1048576	160
jian	1775	2506	1048576	160
jian	2057	2536	1048576	160
jian	2367	2375	1048576	160
jian	2467	2136	1048576	160
jian	2518	1864	1048576	160
jian	2698	1893	1048576	160
jian	2467	1639	1048576	160
jian	2341	1339	1048576	160
jian	1926	1597	1048576	160
jian	1566	1767	1048576	160
